,Unnamed: 0,Unnamed: 0.1,French,English
0,1,1,histoire,history
1,2,2,chercher,search
2,3,3,seulement,only
3,4,4,police,police
4,5,5,pensais,thought
5,6,6,aide,help
6,7,7,demande,request
7,8,8,genre,kind
8,9,10,frère,brother
9,10,11,laisser,let
10,11,12,car,because
11,12,13,mettre,to put
12,13,14,aucun,no
13,14,15,laisse,leash
14,15,16,eux,them
15,16,17,ville,city
16,17,18,chaque,each
17,18,19,parlé,speak
18,19,20,arrivé,come
19,20,21,devrait,should
20,21,22,bébé,baby
21,22,23,longtemps,long time
22,23,24,heures,hours
23,24,25,vont,will
24,25,27,revoir,meet again
25,26,28,aucune,any
26,27,29,place,square
27,28,30,parle,speak
28,29,31,compris,understood
29,30,32,savais,knew
30,31,34,attention,Warning
31,32,35,voici,here is
32,33,36,pourrais,could
33,34,37,affaire,case
34,35,38,donner,give
35,36,39,type,type
36,37,40,leurs,their
37,38,41,donné,given
38,39,42,train,train
39,40,43,corps,body
40,41,44,endroit,place
41,42,45,façon,way
42,43,46,écoute,listen
43,44,47,dont,whose
44,45,48,trouve,find
45,46,49,premier,first
46,47,50,perdu,lost
47,48,51,main,hand
48,49,52,première,first
49,50,53,côté,side
50,51,54,pouvoir,power
51,52,55,vieux,old
52,53,56,sois,be
53,54,57,tiens,here
54,55,58,matin,morning
55,56,59,tellement,so much
56,57,60,enfant,child
57,58,61,point,point
58,59,62,venu,came
59,60,63,suite,after
60,61,64,pardon,sorry
61,62,65,venez,come
62,63,66,devant,in front of
63,64,67,vers,towards
64,65,68,minutes,minutes
65,66,69,demandé,request
66,67,70,chambre,bedroom
67,68,71,mis,placed
68,69,72,belle,beautiful
69,70,73,droit,law
70,71,75,aujourd'hui,today
71,72,76,mari,husband
72,73,77,cause,cause
73,74,78,enfin,finally
74,75,79,espère,hope
75,76,80,eau,water
76,77,81,attendez,Wait
77,78,82,parti,left
78,79,83,boulot,job
79,80,84,arrêter,Stop
80,81,85,dirait,would say
81,82,86,terre,Earth
82,83,87,compte,account
83,84,88,donne,given
84,85,89,loin,far
85,86,90,fin,end
86,87,91,croire,believe
87,88,92,gros,large
88,89,93,plutôt,rather
89,90,94,aura,will have
90,91,95,filles,girls
91,92,96,jouer,to play
